,Price,Address,Specifics
0,"$769,000",2020 Maple Blvd,"3+1BD1BA6 Parking700-1,100 sqft"
1,"$895,000",203 Marshall Ave,2+1BD2BA7 Parking
2,"$669,900",6806 Cherrygrove Rd,"3+1BD2BA5 Parking1,100-1,500 sqft"
3,"$1,050,000",3329 David Milne Way,"4BD3BA4 Parking2,000-2,500 sqft"
4,"$4,888,000",130 Citation Dr,"5+1BD8BA4 Parking+5,000 sqft"
5,"$699,999",20 Bannister St,3BD3BA3 Parking
6,"$1,599,000",524 Forsyth Farm Dr,"4BD5BA4 Parking2,500-3,000 sqft"
7,"$689,999",182 Radford Dr,"3BD2BA3 Parking1,100-1,500 sqft"
8,"$475,000",16 Derby Gate Cres,3BD2BA3 Parking
9,"$3,438,000",18 Ravenhill Cres,4+2BD6BA15 Parking
10,"$999,000",1786 Westbridge Way,"3+1BD4BA4 Parking1,500-2,000 sqft"
11,"$1,875,000",1718 Old Second Rd S,3BD2BA13 Parking
12,"$650,000",1030 Sunnidale Rd,"3BD2BA8 Parking1,100-1,500 sqft"
13,"$1,699,000",19 Stoneheath Cres,"4+1BD4BA6 Parking2,500-3,000 sqft"
14,"$820,000",18 Birchfield Crt,"3+1BD3BA5 Parking1,500-2,000 sqft"
15,"$939,000",17 Lewin Cres,3+1BD2BA3 Parking
16,"$994,900",18 ASHWOOD Crescent,"3BD3BA2 Parking1,121 sqft"
17,"$1,286,000",12 AUTUMN LEAF Road,"4BD4BA1 Parking1,500 sqft"
18,"$1,299,900",731 Runningbrook Drive,"5BD3BA2 Parking1,563 sqft"
19,"$829,900",458 ELMWOOD Avenue,2BD2BA0 Parking848 sqft
20,"$1,199,900",890 FOREST GLEN Avenue,"3BD2BA1 Parking1,560 sqft"
21,"$749,900",279 Mud Street E,2BD2BA4 Parking700 sqft
22,"$799,000",221 WILLIAMSON Drive,"4BD2BA2 Parking1,260 sqft"
23,"$2,999,900",9586 Twenty Road,"4BD4BA3 Parking2,658 sqft"
24,"$699,000",396 CHARLTON Avenue W,"4BD3BA1 Parking1,496 sqft"
25,"$549,900",101 Mitchell Street,"5BD2BA1 Parking1,600 sqft"
26,"$849,000",70 Knoll Street,"5BD4BA1 Parking2,017 sqft"
27,"$985,000",3123 Michael Crescent,"4BD2BA1 Parking1,256 sqft"
28,"$1,139,999",11 MAGNOLIA Drive,"5BD3BA2 Parking2,415 sqft"
29,"$674,000",21 Karsten Avenue,"6BD4BA1 Parking2,275 sqft"
30,"$1,099,900",56 McAllistar Drive,"5BD4BA2 Parking2,585 sqft"
31,"$829,900",2126 SUNNYDALE Drive,"4BD2BA0 Parking1,040 sqft"
32,"$799,900",19 Orlanda Road,"3BD2BA1 Parking1,440 sqft"
33,"$799,900",632 Ridge Road W,"4BD3BA2 Parking1,642 sqft"
34,"$449,900",264 TRAGINA Avenue N,2BD1BA0 Parking710 sqft
35,"$549,900",101 Mitchell Street,Detached
