,Price,Address,Specifics,full_address
0,"$769,000",2020 Maple Blvd,"3+1BD1BA6 Parking700-1,100 sqft","2020, Maple Boulevard, Port Dover, Norfolk County, Southwestern Ontario, Ontario, N0A 1N4, Canada"
1,"$895,000",203 Marshall Ave,2+1BD2BA7 Parking,"203, Marshall Avenue, Welland, Niagara Region, Golden Horseshoe, Ontario, L3C 2J8, Canada"
2,"$669,900",6806 Cherrygrove Rd,"3+1BD2BA5 Parking1,100-1,500 sqft","6806, Cherrygrove Road, Niagara Falls, Niagara Region, Golden Horseshoe, Ontario, L2E 6L4, Canada"
3,"$1,050,000",3329 David Milne Way,"4BD3BA4 Parking2,000-2,500 sqft",No Address Found
4,"$4,888,000",130 Citation Dr,"5+1BD8BA4 Parking+5,000 sqft","130, Citation Drive, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 1J3, Canada"
5,"$699,999",20 Bannister St,3BD3BA3 Parking,"20, Bannister Street, Parkville Historic District, Hartford, Hartford County, Connecticut, 06106, United States"
6,"$1,599,000",524 Forsyth Farm Dr,"4BD5BA4 Parking2,500-3,000 sqft",No Address Found
7,"$689,999",182 Radford Dr,"3BD2BA3 Parking1,100-1,500 sqft","182, Radford Drive, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1X5, Canada"
8,"$475,000",16 Derby Gate Cres,3BD2BA3 Parking,"16, Derby Gate Crescent, Kingston, Eastern Ontario, Ontario, K7K 4C3, Canada"
9,"$3,438,000",18 Ravenhill Cres,4+2BD6BA15 Parking,"18, Ravenhill Crescent, Hagerman's Corners, Markham, York Region, Golden Horseshoe, Ontario, L3R 0L7, Canada"
10,"$999,000",1786 Westbridge Way,"3+1BD4BA4 Parking1,500-2,000 sqft","1786, Westbridge Way, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5N 7L2, Canada"
11,"$1,875,000",1718 Old Second Rd S,3BD2BA13 Parking,No Address Found
12,"$650,000",1030 Sunnidale Rd,"3BD2BA8 Parking1,100-1,500 sqft","1030, Sunnidale Road, Springwater, Simcoe County, Central Ontario, Ontario, L4N 7Y3, Canada"
13,"$1,699,000",19 Stoneheath Cres,"4+1BD4BA6 Parking2,500-3,000 sqft","19, Stoneheath Crescent, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L6C 2H4, Canada"
14,"$820,000",18 Birchfield Crt,"3+1BD3BA5 Parking1,500-2,000 sqft","18, Birchfield Court, Coram, Town of Brookhaven, Suffolk County, New York, 11727, United States"
15,"$939,000",17 Lewin Cres,3+1BD2BA3 Parking,"17, Lewin Crescent, Clover Ridge, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1B4, Canada"
16,"$994,900",18 ASHWOOD Crescent,"3BD3BA2 Parking1,121 sqft","18, Ashwood Crescent, Meadowlands, College, Nepean, Ottawa, Eastern Ontario, Ontario, K2G 5Y7, Canada"
17,"$1,286,000",12 AUTUMN LEAF Road,"4BD4BA1 Parking1,500 sqft","12, Autumn Leaf Road, Pleasant Valley, Dundas, Hamilton, Golden Horseshoe, Ontario, L9H 4A7, Canada"
18,"$1,299,900",731 Runningbrook Drive,"5BD3BA2 Parking1,563 sqft","731, Runningbrook Drive, Rathwood, Mississauga, Peel Region, Golden Horseshoe, Ontario, L4Y 2Y4, Canada"
19,"$829,900",458 ELMWOOD Avenue,2BD2BA0 Parking848 sqft,"458, Elmwood Avenue, Buchanan, Hamilton, Golden Horseshoe, Ontario, L9C 2B1, Canada"
20,"$1,199,900",890 FOREST GLEN Avenue,"3BD2BA1 Parking1,560 sqft","890, Forest Glen Avenue, Aldershot, Burlington, Halton Region, Golden Horseshoe, Ontario, L7T 1Z1, Canada"
21,"$749,900",279 Mud Street E,2BD2BA4 Parking700 sqft,"279, Mud Street East, Grimsby, Niagara Region, Golden Horseshoe, Ontario, L0R 1M0, Canada"
