,Price,Address,Specifics,Full_address
0,"$699,999",20 Bannister St,3BD3BA3 Parking,"20 Bannister St, Bowmanville, ON L1C 5L6"
1,"$820,000",18 Birchfield Crt,"3+1BD3BA5 Parking1,500-2,000 sqft","18 Birchfield Ct, Courtice, ON L1E 1M4"
2,"$549,900",101 Mitchell Street,"5BD2BA1 Parking1,600 sqft","101 Mitchell St, Port Colborne, ON L3K 1X6"
3,"$849,000",70 Knoll Street,"5BD4BA1 Parking2,017 sqft","70 Knoll St, Port Colborne, ON L3K 5A6"
4,"$549,900",101 Mitchell Street,Detached,"101 Mitchell St, Port Colborne, ON L3K 1X6"
5,"$780,000",5 - 257 Carla Avenue,"3BD3BA1 Parking1,492 sqft","257 Carla Ave, Stoney Creek, ON L8G 3M9"
6,"$999,900",46 Drake Ave,"4BD4BA6 Parking2,500-3,000 sqft","46 Drake Ave, Brant, ON N3L 0J1"
7,"$2,400,000",748 W 59TH AVENUE,"3BD3BA2 Parking2,600 sqft","748 W 59th Ave, Vancouver, BC V6P 1X6"
8,"$2,300,000",1512 BOND STREET,"1BD1BA0 Parking2,184 sqft","Toronto, ON"
9,"$1,788,000",46 Major Cres,4BD3BA4 Parking,"46 Major Cres, Aurora, ON L4G 0X5"
10,"$1,999,900",918 GROVER AVENUE,"4BD2BA6 Parking2,230 sqft","Richmond Hill, ON"
11,"$3,599,900",40 Autumn Olive Way,"5BD6BA10 Parking+5,000 sqft","40 Autumn Olive Way, Brampton, ON L6P 0J4"
12,"$495,500",740 6th Ave,"3BD2BA5 Parking2,000-2,500 sqft","740 6th Ave, Port McNicoll, ON L0K 1R0"
13,"$999,900",29 Dewridge Crt,"3BD3BA2 Parking1,500-2,000 sqft","29 Dewridge Ct, Brampton, ON L6R 3C1"
14,"$1,299,900",26 Hidden Lake Tr,"3BD3BA4 Parking1,500-2,000 sqft","26 Hidden Lk Trl, Norval, ON L0P 1K0"
15,"$1,399,900",1792 WARWICK AVENUE,"5BD2BA8 Parking1,917 sqft","Toronto, ON"
16,"$1,450,000",395 Mud St,3+1BD3BA14 Parking,"395 Mud St E, Smithville, ON L0R 2A0"
17,"$1,399,000",45468 WELLINGTON AVENUE,"5BD3BA5 Parking2,420 sqft","Brampton, ON"
18,"$1,150,000",4738 FIR ROAD,"4BD3BA4 Parking3,168 sqft","4738 Fir Rd, Sechelt, BC V0N 3A2"
19,"$949,000",10 Sylvester Dr,"4BD4BA6 Parking2,000-2,500 sqft","10 William Sylvester Dr, North York, ON M2J 0E9"
20,"$709,000",65 Stevenson St,"3BD2BA4 Parking1,100-1,500 sqft","65 Stevenson Rd N, Oshawa, ON L1J 5M4"
21,"$1,400,000",14 Moccasin Tr,3+2BD2BA4 Parking,"14 Moccasin Trail, North York, ON M3C 1Y6"
22,"$350,000",20 Dell St,"5BD3BA3 Parking1,500-2,000 sqft",No Address Found
23,"$565,800",4533 Sixth St,"3+1BD2BA6 Parking2,000-2,500 sqft","Toronto, ON"
24,"$999,000",22 Peacock Tr,4BD4BA6 Parking,"22 Peacock Trail, New Tecumseth, ON L0L 1L0"
25,"$1,650,000",38 Pheasant St,"2+2BD3BA5 Parking1,100-1,500 sqft","38 Pheasant St, Omemee, ON K0L 2W0"
26,"$1,500,000",21A Wellington St,"4BD3BA6 Parking2,500-3,000 sqft","21 Wellington St E, Toronto, ON M5E 1X6"
27,"$789,000",35 Victoria Way,"2+2BD3BA6 Parking1,500-2,000 sqft",No Address Found
28,"$1,388,000",7 Carlsberg Pl,4BD3BA8 Parking,"7 Carlsberg Pl, Whitchurch-Stouffville, ON L4A 7X4"
29,"$1,049,999",6070 Allendale Ave,2BD1BA2 Parking,"6070 Allendale Ave, Niagara Falls, ON L2G 3Z4"
30,"$3,595,900",159 Jones St,"5+1BD7BA8 Parking3,500-5,000 sqft","159 Jones St, Oakville, ON L6L 3E8"
31,"$1,720,000",3247 E 29TH AVENUE,"2BD3BA1 Parking2,891 sqft","3247 E 29th Ave, Vancouver, BC V5R 1W4"
32,"$1,297,000",4709 LAUREL AVENUE,"4BD2BA3 Parking1,860 sqft","Toronto, ON"
33,"$1,385,000",65 Edith St,4BD3BA4 Parking,"65 Edith St, St. Catharines, ON L2S 2P8"
34,"$949,900",21 Cahill Dr,4BD3BA4 Parking,"21 Cahill Dr, Brantford, ON N3T 5L5"
35,"$999,900",6 Lockwood Rd,3BD3BA6 Parking,"6 Lockwood Rd, Brampton, ON L6Y 4S6"
36,"$2,448,000",1322 E 62ND AVENUE,"6BD6BA4 Parking3,955 sqft","1322 E 62nd Ave, Vancouver, BC V5X 2H5"
37,"$1,199,000",3214 WAGNER DRIVE,"6BD4BA5 Parking3,100 sqft","Markham, ON"
38,"$849,999",50 Greene Dr,3+2BD3BA4 Parking,"50 Greene Dr, Brampton, ON L6V 2R7"
39,"$3,150,000",406 Valley Dr,"4BD6BA6 Parking3,500-5,000 sqft","406 Valley Vista Dr, Vaughan, ON"
40,"$664,900",46018 KING AVENUE,"2BD2BA3 Parking1,090 sqft","Toronto, ON"
41,"$780,000",5 - 257 Carla Ave,"3BD3BA2 Parking1,100-1,500 sqft","257 Carla Ave, Stoney Creek, ON L8G 3M9"
42,"$1,149,900",45 Evergreen Ave,"3+1BD3BA10 Parking1,500-2,000 sqft","45 Evergreen Ave, Etobicoke, ON M8W 3A3"
43,"$1,499,900",3469 FRANKLIN STREET,"4BD4BA1 Parking1,497 sqft","3469 Franklin St, Claremont, ON L1Y 1B4"
44,"$2,699,999",3428 E 52ND AVENUE,"5BD3BA3 Parking3,067 sqft","3428 E 52nd Ave, Vancouver, BC V5S 1V5"
45,"$949,000",3 Natures Trail,"2+1BD3BA4 Parking1,322 sqft","3 Natures Trl, Wasaga Beach, ON"
46,"$899,900",39497 Belfast Road,"4BD3BA0 Parking65,535 sqft","39497 Belfast Rd, Wingham, ON N0G 2W0"
47,"$849,900",38 Tilbury Street,"3BD4BA0 Parking1,693 sqft","38 Tilbury Dr, North York, ON M3K 1W8"
48,"$744,900",1670 Doyle Road,"3+1BD3BA12 Parking1,442 sqft","1670 Doyle Rd, Bath, ON K0H 1G0"
49,"$829,900",19 Douglas Drive,"3+1BD2BA4 Parking1,350 sqft","19 Douglas Dr, Toronto, ON M4W 2B2"
50,"$264,900",90 Allison Street,"3BD1BA0 Parking22,651 sqft","90 Allison St, Codrington, ON K0K 1R0"
51,"$164,900",10 Newton Avenue,"3BD2BA0 Parking6,098 sqft","10 Newton Dr, North York, ON M2M 2M7"
52,"$179,900",181 Valley Road,"3BD1BA0 Parking65,535 sqft","181 Valley Rd, North York, ON M2L 1G5"
53,"$1,149,900",45 Evergreen Avenue,"3+1BD3BA0 Parking1,837 sqft","45 Evergreen Ave, Etobicoke, ON M8W 3A3"
54,"$3,150,000",406 Valley Drive,"4BD6BA0 Parking3,502 sqft","406 Valley Vista Dr, Vaughan, ON"
55,"$1,189,000",4 Silver Crescent,"3BD4BA4 Parking1,728 sqft","4 Silver Crescent, Port Hope, ON L1A 2C4"
56,"$549,900",76 Spring Street,"3BD2BA0 Parking1,528 sqft","76 Spring St, Whitchurch-Stouffville, ON L4A 7W9"
57,"$729,000",122 Webster Street,"3BD2BA0 Parking1,018 sqft","122 Webster St, New Hamburg, ON N3A 1W7"
58,"$659,900",48 Anderson Street,"1+2BD2BA6 Parking1,022 sqft","48 Anderson Crescent, Victoria Harbour, ON L0K 2A0"
59,"$659,900",48 Anderson Cres,"1+2BD2BA6 Parking700-1,100 sqft","48 Anderson Crescent, Smithville, ON L0R 2A0"
60,"$999,900",12 Hinkson St,4BD3BA2 Parking,"12 Hinkson St, Whitby, ON L1P 1Y2"
61,"$1,899,000",6692 RUSSELL AVENUE,"3BD4BA2 Parking1,858 sqft","St. Catharines, ON"
62,"$549,900",101 Mitchell St,"5BD2BA5 Parking1,500-2,000 sqft","101 Mitchell St, Port Colborne, ON L3K 1X6"
63,"$699,999",119 Gorham Rd,"2+2BD2BA10 Parking700-1,100 sqft","119 Gorham Rd, Ridgeway, ON L0S 1N0"
64,"$969,999",23 Warren Cres,2+2BD1BA2 Parking,"23 Warren McBride Cres, Aurora, ON L4G 7C4"
65,"$319,000",150 Mcarthur St,"3BD1BA2 Parking700-1,100 sqft","Toronto, ON"
66,"$899,800",231 Murray St,3BD3BA4 Parking,"231 Murray St, Brampton, ON L6X 3M1"
67,"$1,477,000",526 Coronation Rd,"5BD4BA4 Parking2,500-3,000 sqft","526 Coronation Rd, Whitby, ON"
68,"$800,000",62 Elgin St,3BD3BA6 Parking,"62 Elgin St, Thornhill, ON L3T 1W5"
69,"$829,900",19 Douglas Dr,3+1BD2BA4 Parking,"19 Douglas Dr, Toronto, ON M4W 2B2"
70,"$1,158,000",95 Highlands Blvd,"4BD3BA4 Parking2,500-3,000 sqft","95 Highlands Blvd, Cavan-Monaghan, ON L0A 1G0"
71,"$1,399,000",23 Virginia Dr,"4BD3BA6 Parking2,500-3,000 sqft","23 Virginia Dr, Whitby, ON L1R 2Y1"
72,"$789,900",3029 Monarch Dr,"3+1BD4BA3 Parking1,500-2,000 sqft","3029 Monarch Dr, Orillia, ON L3V 0A4"
73,"$229,900",00 White Lake Road,,"0 White Lake Rd, Godfrey, ON K0H 1T0"
74,"$799,999",24 Sharon Crt,3BD2BA5 Parking,"24 Sharon Ct, Brampton, ON L6W 3B7"
75,"$1,799,900",277 Stanton Ave W,"4BD4BA5 Parking3,000-3,500 sqft","277 Stanton Ave, Woodbridge, ON L4L 8L1"
76,"$2,950,000",12 Terrace Ave,4+2BD7BA8 Parking,"12 Terrace Ave, North York, ON M2R 1E9"
77,"$879,888",212 Claire Dr,"2+2BD3BA4 Parking1,100-1,500 sqft","212 Claire Dr., Stayner, ON L0M 1S0"
78,"$1,698,990",69 Calabria Dr,"4BD4BA6 Parking2,500-3,000 sqft",No Address Found
79,"$749,900",87 York Street,"4BD3BA0 Parking1,816 sqft","87 York St, Toronto, ON"
80,"$749,900",87 York Street,Detached,"87 York St, Toronto, ON"
81,"$1,239,900",1063 Bedford Avenue,"4BD2BA1 Parking1,063 sqft","1063 Bedford Ave, Burlington, ON L7T 2K4"
